#query	COG_category	Description	Preferred_name	GOs	KEGG_ko	KEGG_Pathway	KEGG_Module	PFAMs
NODE_6457_length_392_cov_1.079365_2	T	Non-specific serine threonine protein kinase		GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023052,GO:0035556,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0065007,GO:0071704,GO:0140096,GO:1901564	ko:K07198	ko04068,ko04140,ko04150,ko04151,ko04152,ko04211,ko04213,ko04371,ko04530,ko04710,ko04714,ko04910,ko04920,ko04921,ko04922,ko04931,ko04932,ko05410,ko05418,map04068,map04140,map04150,map04151,map04152,map04211,map04213,map04371,map04530,map04710,map04714,map04910,map04920,map04921,map04922,map04931,map04932,map05410,map05418		KA1,Pkinase,UBA
NODE_6458_length_391_cov_1.060317_1	G	Purple acid phosphatase			ko:K22390			Metallophos,Metallophos_C,Pur_ac_phosph_N
NODE_6471_length_392_cov_0.698413_1	S	MuDR family transposase						DBD_Tnp_Mut,MULE,SWIM
NODE_6497_length_391_cov_0.929936_1	L	Chloroplastic group IIA intron splicing facilitator CRS1		GO:0000373,GO:0000375,GO:0000377,GO:0006139,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0008380,GO:0009987,GO:0010467,GO:0016070,GO:0034641,GO:0043170,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0090304,GO:1901360				CRS1_YhbY
NODE_6507_length_391_cov_0.697452_1	M	aspartic-type endopeptidase activity	pepA	GO:0003674,GO:0003824,GO:0004175,GO:0004190,GO:0005575,GO:0005576,GO:0006508,GO:0006807,GO:0008150,GO:0008152,GO:0008233,GO:0009056,GO:0009057,GO:0016787,GO:0019538,GO:0030163,GO:0043170,GO:0044238,GO:0070001,GO:0070011,GO:0071704,GO:0140096,GO:1901564,GO:1901565,GO:1901575	ko:K06004			Asp,TAXi_C,TAXi_N
NODE_6538_length_390_cov_0.766773_1	E	Ribonuclease H protein						DUF4283,Exo_endo_phos,zf-CCHC_4
NODE_6584_length_389_cov_0.814103_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_6586_length_389_cov_0.801282_1	J	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs		GO:0000956,GO:0003674,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006139,GO:0006401,GO:0006402,GO:0006412,GO:0006518,GO:0006725,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009056,GO:0009057,GO:0009058,GO:0009059,GO:0009892,GO:0009987,GO:0010467,GO:0010468,GO:0010605,GO:0010629,GO:0016043,GO:0016070,GO:0016071,GO:0016072,GO:0016075,GO:0019222,GO:0019439,GO:0019538,GO:0022411,GO:0032790,GO:0032984,GO:0032988,GO:0034641,GO:0034645,GO:0034655,GO:0034660,GO:0034661,GO:0043021,GO:0043022,GO:0043043,GO:0043170,GO:0043603,GO:0043604,GO:0043933,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044260,GO:0044265,GO:0044267,GO:0044270,GO:0044271,GO:0044424,GO:0044464,GO:0044877,GO:0046483,GO:0046700,GO:0048519,GO:0050789,GO:0060255,GO:0065007,GO:0070651,GO:0070966,GO:0071704,GO:0071826,GO:0071840,GO:0090304,GO:1901360,GO:1901361,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1903008	ko:K06965	ko03015,map03015		eRF1_1,eRF1_2,eRF1_3
NODE_6590_length_389_cov_0.701923_1	S	Pentatricopeptide repeat-containing protein		GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363				PPR,PPR_2,PPR_3
NODE_6595_length_389_cov_0.685897_1	T	receptor-like protein kinase						GUB_WAK_bind,Pkinase,WAK_assoc
NODE_6621_length_388_cov_0.861736_1	S	Zinc finger MYM-type protein						DUF4371,Dimer_Tnp_hAT
NODE_6630_length_388_cov_0.742765_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_6635_length_388_cov_0.694534_1	S	BEST Arabidopsis thaliana protein match is			ko:K14487,ko:K18195	ko04075,map04075		DUF4283,RVT_1,zf-CCHC_4,zf-RVT
NODE_6674_length_387_cov_0.683871_1	H	Bifunctional enzyme. Involved in de novo dTMP biosynthesis. Key enzyme in folate metabolism		GO:0003674,GO:0003824,GO:0004146,GO:0004799,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006575,GO:0006725,GO:0006732,GO:0006760,GO:0006807,GO:0008150,GO:0008152,GO:0008168,GO:0009058,GO:0009108,GO:0009256,GO:0009257,GO:0009396,GO:0009987,GO:0016053,GO:0016491,GO:0016645,GO:0016646,GO:0016740,GO:0016741,GO:0018130,GO:0019438,GO:0019752,GO:0032259,GO:0034641,GO:0042083,GO:0042398,GO:0042558,GO:0042559,GO:0043436,GO:0043603,GO:0043604,GO:0043648,GO:0043650,GO:0044237,GO:0044249,GO:0044271,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046483,GO:0046653,GO:0046654,GO:0051186,GO:0051188,GO:0055114,GO:0071704,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576	ko:K13998	ko00240,ko00670,ko00790,ko01100,map00240,map00670,map00790,map01100	M00053,M00126,M00841	DHFR_1,Thymidylat_synt
NODE_6682_length_387_cov_0.600000_1	A	Ras GTPase-activating protein-binding protein						NTF2,RRM_1
NODE_6688_length_387_cov_0.438710_1	L	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_6705_length_386_cov_0.792880_1				GO:0000123,GO:0000228,GO:0000785,GO:0000790,GO:0000812,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005694,GO:0006325,GO:0006464,GO:0006473,GO:0006475,GO:0006807,GO:0006996,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016569,GO:0016570,GO:0016573,GO:0016604,GO:0016607,GO:0018193,GO:0018205,GO:0018393,GO:0018394,GO:0019538,GO:0031248,GO:0031974,GO:0031981,GO:0032991,GO:0035267,GO:0036211,GO:0043170,GO:0043189,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0043233,GO:0043412,GO:0043543,GO:0043967,GO:0043968,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044427,GO:0044428,GO:0044446,GO:0044451,GO:0044454,GO:0044464,GO:0051276,GO:0070013,GO:0070603,GO:0071704,GO:0071840,GO:0097346,GO:1901564,GO:1902493,GO:1902494,GO:1902562,GO:1904949,GO:1990234				HSA,Myb_DNA-bind_6
NODE_6706_length_386_cov_0.789644_1	L	transposition, RNA-mediated						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_6714_length_386_cov_0.695793_1	L	NB-ARC domain						NB-ARC,RVT_2,TIR
NODE_6731_length_385_cov_1.178571_1	S	OBERON-like protein						Oberon_cc,PHD_Oberon
NODE_6732_length_385_cov_0.974026_1	E	POT family		GO:0000003,GO:0003006,GO:0003674,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0006811,GO:0006820,GO:0007154,GO:0007275,GO:0008150,GO:0008509,GO:0009605,GO:0009790,GO:0009791,GO:0009793,GO:0009987,GO:0009991,GO:0010098,GO:0010154,GO:0015075,GO:0015103,GO:0015112,GO:0015318,GO:0015698,GO:0015706,GO:0016020,GO:0022414,GO:0022857,GO:0031667,GO:0031668,GO:0031669,GO:0032501,GO:0032502,GO:0034220,GO:0043562,GO:0044464,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051716,GO:0055085,GO:0061458,GO:0071496,GO:0071705,GO:0071944,GO:0080054,GO:0098656	ko:K14206,ko:K14638	ko04974,map04974		PTR2
NODE_6733_length_385_cov_0.948052_1	G	Beta-13-galactosyltransferase		GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005794,GO:0006029,GO:0006464,GO:0006486,GO:0006493,GO:0006807,GO:0007275,GO:0008150,GO:0008152,GO:0008378,GO:0009058,GO:0009059,GO:0009100,GO:0009101,GO:0009653,GO:0009791,GO:0009888,GO:0009987,GO:0010015,GO:0010053,GO:0010054,GO:0010154,GO:0010191,GO:0010192,GO:0010214,GO:0010384,GO:0010404,GO:0010405,GO:0012505,GO:0016740,GO:0016757,GO:0016758,GO:0018193,GO:0018208,GO:0018258,GO:0019538,GO:0021700,GO:0022414,GO:0022622,GO:0030154,GO:0032501,GO:0032502,GO:0034645,GO:0036211,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043413,GO:0044036,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044424,GO:0044444,GO:0044464,GO:0048316,GO:0048354,GO:0048359,GO:0048364,GO:0048468,GO:0048469,GO:0048608,GO:0048731,GO:0048764,GO:0048765,GO:0048856,GO:0048869,GO:0061458,GO:0070085,GO:0071554,GO:0071695,GO:0071704,GO:0080147,GO:0090558,GO:0090627,GO:0099402,GO:1901135,GO:1901137,GO:1901564,GO:1901566,GO:1901576,GO:1905392,GO:1990714	ko:K20843			Gal-bind_lectin,Galactosyl_T
NODE_6813_length_383_cov_0.924837_1	L	Mitochondrial protein						RVT_2,Retrotran_gag_2,Retrotran_gag_3,gag_pre-integrs
NODE_6823_length_383_cov_0.781046_1	K	homeobox-leucine zipper protein		GO:0000003,GO:0003006,GO:0003674,GO:0003700,GO:0006355,GO:0007275,GO:0008150,GO:0009791,GO:0009889,GO:0009908,GO:0010468,GO:0010556,GO:0019219,GO:0019222,GO:0022414,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0045595,GO:0045596,GO:0048367,GO:0048437,GO:0048497,GO:0048519,GO:0048523,GO:0048608,GO:0048731,GO:0048856,GO:0050789,GO:0050793,GO:0050794,GO:0051093,GO:0051171,GO:0051252,GO:0060255,GO:0061458,GO:0065007,GO:0080090,GO:0090567,GO:0090700,GO:0099402,GO:0140110,GO:1903506,GO:2000112,GO:2001141				Homeobox,START
NODE_6844_length_383_cov_0.588235_1	S	zinc-binding in reverse transcriptase						zf-RVT
NODE_6858_length_382_cov_0.957377_1	DO	Metacaspase						Peptidase_C14
NODE_6866_length_382_cov_0.908197_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
NODE_6891_length_382_cov_0.609836_1	L	ribonuclease H protein						DUF4283,RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_6914_length_381_cov_0.776316_1	S	Egg cell-secreted protein 1.1-like						Prolamin_like
NODE_6915_length_381_cov_0.743421_1	T	Serine threonine-protein kinase-like protein	CR4	GO:0000003,GO:0003006,GO:0003674,GO:0003824,GO:0004672,GO:0004888,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005768,GO:0005770,GO:0005771,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0008152,GO:0009506,GO:0009653,GO:0009786,GO:0009790,GO:0009791,GO:0009793,GO:0009908,GO:0009986,GO:0009987,GO:0010008,GO:0010015,GO:0010016,GO:0010101,GO:0010102,GO:0010154,GO:0010311,GO:0012505,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019199,GO:0019538,GO:0022414,GO:0022622,GO:0023052,GO:0030054,GO:0030139,GO:0030154,GO:0031090,GO:0031410,GO:0031902,GO:0031982,GO:0032501,GO:0032502,GO:0032585,GO:0036211,GO:0038023,GO:0042802,GO:0042803,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044422,GO:0044424,GO:0044433,GO:0044440,GO:0044444,GO:0044446,GO:0044464,GO:0046777,GO:0046983,GO:0048316,GO:0048364,GO:0048367,GO:0048439,GO:0048527,GO:0048528,GO:0048608,GO:0048646,GO:0048731,GO:0048829,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0050896,GO:0051302,GO:0051716,GO:0055044,GO:0060089,GO:0061458,GO:0065007,GO:0071704,GO:0071944,GO:0090567,GO:0090627,GO:0090696,GO:0090697,GO:0090698,GO:0097708,GO:0098588,GO:0098805,GO:0099402,GO:0140096,GO:1901564,GO:1905392,GO:1905393	ko:K04730	ko04010,ko04064,ko04620,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05169,map04010,map04064,map04620,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05169	M00686	Pkinase,Pkinase_Tyr,RCC1_2,TNFR_c6
NODE_6927_length_381_cov_0.592105_1	S	Plant mobile domain						PMD
NODE_6934_length_380_cov_1.445545_1	S	lycopene beta cyclase		GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006720,GO:0006721,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009507,GO:0009509,GO:0009536,GO:0009975,GO:0009987,GO:0016108,GO:0016109,GO:0016114,GO:0016116,GO:0016117,GO:0016853,GO:0016860,GO:0042440,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044424,GO:0044444,GO:0044464,GO:0045436,GO:0046148,GO:0071704,GO:1901576	ko:K06443	ko00906,ko01100,ko01110,map00906,map01100,map01110	M00097	Lycopene_cycl
NODE_6943_length_380_cov_0.963696_1	Q	ABC transporter B family member			ko:K05658	ko02010,ko04976,ko05206,ko05226,map02010,map04976,map05206,map05226		ABC_membrane,ABC_tran
NODE_6960_length_380_cov_0.706271_1	L	hAT family C-terminal dimerisation region						DUF4413,Dimer_Tnp_hAT,zf-BED
NODE_6965_length_380_cov_0.653465_1	O	Domain associated at C-terminal with AAA			ko:K08900			AAA,AAA_assoc,PEARLI-4
NODE_6998_length_379_cov_0.725166_1	U	exocyst complex component			ko:K07195	ko04910,map04910		Exo70
NODE_7001_length_379_cov_0.725166_1	E	Ribonuclease H protein						DUF4283,zf-CCHC_4
NODE_7008_length_379_cov_0.635762_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-CCHC_4,zf-RVT
NODE_7019_length_378_cov_0.993355_1	L	lipid metabolic process						DUF4219,RVT_2,Retrotran_gag_2,Retrotran_gag_3,gag_pre-integrs,rve,zf-CCHC
NODE_7020_length_378_cov_0.986711_1	E	Ribonuclease H protein			ko:K03549			RVT_1,RVT_3,zf-RVT
NODE_7041_length_378_cov_0.794020_1	L	transposition, RNA-mediated						Asp_protease_2,RVT_1,Retrotrans_gag,rve
NODE_7066_length_378_cov_0.561462_1	L	transposition, RNA-mediated			ko:K12179			RVP_2,RVT_1,Retrotrans_gag,rve
NODE_7075_length_377_cov_0.973333_1	C	Catalyzes the NAD( )-dependent oxidation of formate to carbon dioxide. Involved in the cell stress response	FDH1	GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0008150,GO:0009507,GO:0009536,GO:0009579,GO:0010035,GO:0010038,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464,GO:0046686,GO:0050896	ko:K00122	ko00630,ko00680,ko01100,ko01120,ko01200,map00630,map00680,map01100,map01120,map01200		2-Hacid_dh,2-Hacid_dh_C
NODE_7099_length_377_cov_0.730000_1	L	gag-polypeptide of LTR copia-type						Retrotran_gag_2
NODE_7104_length_377_cov_0.730000_1	O	Belongs to the peptidase C1 family		GO:0000003,GO:0000323,GO:0000325,GO:0002376,GO:0003006,GO:0003674,GO:0003824,GO:0004175,GO:0004197,GO:0005575,GO:0005576,GO:0005615,GO:0005618,GO:0005622,GO:0005623,GO:0005737,GO:0005764,GO:0005773,GO:0005783,GO:0006508,GO:0006807,GO:0006950,GO:0006952,GO:0006955,GO:0007275,GO:0008150,GO:0008152,GO:0008219,GO:0008233,GO:0008234,GO:0009056,GO:0009057,GO:0009505,GO:0009555,GO:0009605,GO:0009607,GO:0009620,GO:0009626,GO:0009791,GO:0009908,GO:0009987,GO:0010623,GO:0012501,GO:0012505,GO:0016787,GO:0019538,GO:0022414,GO:0030154,GO:0030163,GO:0030312,GO:0032501,GO:0032502,GO:0033554,GO:0034050,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044248,GO:0044257,GO:0044260,GO:0044265,GO:0044267,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0045087,GO:0048229,GO:0048367,GO:0048437,GO:0048438,GO:0048443,GO:0048466,GO:0048468,GO:0048608,GO:0048653,GO:0048658,GO:0048731,GO:0048827,GO:0048856,GO:0048869,GO:0050832,GO:0050896,GO:0051603,GO:0051704,GO:0051707,GO:0051716,GO:0061458,GO:0070011,GO:0071704,GO:0071944,GO:0090567,GO:0098542,GO:0099402,GO:0140096,GO:1901564,GO:1901565,GO:1901575	ko:K16292			Inhibitor_I29,Peptidase_C1
NODE_7164_length_376_cov_0.702341_1	L	ribonuclease H protein						RVT_1,RVT_3,zf-RVT
NODE_7178_length_376_cov_0.581940_1	K	Domain of unknown function (DUF4283)						DUF4283,zf-CCHC_4
NODE_7186_length_375_cov_19.003356_1	A	ATP-dependent RNA helicase	DHX35	GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003676,GO:0003723,GO:0003724,GO:0003824,GO:0004004,GO:0004386,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005681,GO:0005737,GO:0005829,GO:0005911,GO:0006139,GO:0006396,GO:0006397,GO:0006725,GO:0006807,GO:0008026,GO:0008150,GO:0008152,GO:0008186,GO:0008380,GO:0009506,GO:0009987,GO:0010467,GO:0016070,GO:0016071,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030054,GO:0032991,GO:0034641,GO:0042623,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0055044,GO:0070035,GO:0071704,GO:0090304,GO:0097159,GO:0140098,GO:1901360,GO:1901363,GO:1990904	ko:K13117		M00355	AAA_22,HA2,Helicase_C,OB_NTP_bind
NODE_7192_length_375_cov_0.979866_1	S	DYW family of nucleic acid deaminases						DYW_deaminase,PPR,PPR_2
NODE_7234_length_374_cov_1.000000_1	G	Belongs to the hexokinase family	HXK1	GO:0001047,GO:0001067,GO:0001678,GO:0003674,GO:0003676,GO:0003677,GO:0003824,GO:0004340,GO:0004396,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005739,GO:0005740,GO:0005741,GO:0005773,GO:0005774,GO:0005829,GO:0005975,GO:0005996,GO:0006082,GO:0006090,GO:0006091,GO:0006096,GO:0006139,GO:0006163,GO:0006164,GO:0006165,GO:0006355,GO:0006357,GO:0006725,GO:0006732,GO:0006733,GO:0006753,GO:0006754,GO:0006757,GO:0006793,GO:0006796,GO:0006807,GO:0006810,GO:0006833,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008219,GO:0008270,GO:0008865,GO:0009056,GO:0009058,GO:0009108,GO:0009117,GO:0009123,GO:0009124,GO:0009126,GO:0009127,GO:0009132,GO:0009135,GO:0009141,GO:0009142,GO:0009144,GO:0009145,GO:0009150,GO:0009152,GO:0009156,GO:0009161,GO:0009165,GO:0009166,GO:0009167,GO:0009168,GO:0009179,GO:0009185,GO:0009199,GO:0009201,GO:0009205,GO:0009206,GO:0009259,GO:0009260,GO:0009536,GO:0009743,GO:0009746,GO:0009747,GO:0009749,GO:0009756,GO:0009757,GO:0009889,GO:0009987,GO:0010033,GO:0010118,GO:0010148,GO:0010182,GO:0010255,GO:0010468,GO:0010556,GO:0012501,GO:0016020,GO:0016021,GO:0016052,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0017144,GO:0018130,GO:0019158,GO:0019200,GO:0019219,GO:0019222,GO:0019318,GO:0019320,GO:0019359,GO:0019362,GO:0019363,GO:0019438,GO:0019439,GO:0019637,GO:0019693,GO:0019725,GO:0019752,GO:0019867,GO:0023052,GO:0031090,GO:0031224,GO:0031300,GO:0031301,GO:0031306,GO:0031307,GO:0031323,GO:0031326,GO:0031966,GO:0031967,GO:0031968,GO:0031975,GO:0032592,GO:0032787,GO:0032991,GO:0033500,GO:0034284,GO:0034404,GO:0034641,GO:0034654,GO:0034655,GO:0042044,GO:0042221,GO:0042592,GO:0042593,GO:0042866,GO:0043167,GO:0043169,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044212,GO:0044237,GO:0044238,GO:0044248,GO:0044249,GO:0044262,GO:0044270,GO:0044271,GO:0044281,GO:0044282,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044429,GO:0044437,GO:0044444,GO:0044446,GO:0044455,GO:0044464,GO:0046031,GO:0046034,GO:0046365,GO:0046390,GO:0046394,GO:0046434,GO:0046483,GO:0046496,GO:0046700,GO:0046835,GO:0046872,GO:0046914,GO:0046939,GO:0048878,GO:0050789,GO:0050794,GO:0050896,GO:0051156,GO:0051171,GO:0051179,GO:0051186,GO:0051188,GO:0051234,GO:0051252,GO:0051716,GO:0055082,GO:0055086,GO:0060255,GO:0065007,GO:0065008,GO:0070887,GO:0071310,GO:0071322,GO:0071326,GO:0071331,GO:0071333,GO:0071704,GO:0072330,GO:0072521,GO:0072522,GO:0072524,GO:0072525,GO:0080090,GO:0090332,GO:0090407,GO:0097159,GO:0098573,GO:0098588,GO:0098805,GO:1901135,GO:1901137,GO:1901292,GO:1901293,GO:1901360,GO:1901361,GO:1901362,GO:1901363,GO:1901564,GO:1901566,GO:1901575,GO:1901576,GO:1901700,GO:1901701,GO:1903506,GO:2000112,GO:2001141	ko:K00844	ko00010,ko00051,ko00052,ko00500,ko00520,ko00521,ko00524,ko01100,ko01110,ko01120,ko01130,ko01200,ko04066,ko04910,ko04930,ko04973,ko05230,map00010,map00051,map00052,map00500,map00520,map00521,map00524,map01100,map01110,map01120,map01130,map01200,map04066,map04910,map04930,map04973,map05230	M00001,M00549	Hexokinase_1,Hexokinase_2
NODE_7243_length_374_cov_0.962963_1	J	SPA1-related			ko:K16240	ko04712,map04712		Pkinase_Tyr,WD40
NODE_7258_length_374_cov_0.734007_1	T	receptor-like protein kinase		GO:0005575,GO:0005623,GO:0005886,GO:0016020,GO:0016324,GO:0030427,GO:0035838,GO:0042995,GO:0044425,GO:0044459,GO:0044463,GO:0044464,GO:0045177,GO:0051286,GO:0071944,GO:0090404,GO:0090406,GO:0098590,GO:0120025,GO:0120038	ko:K04733	ko04010,ko04064,ko04620,ko04621,ko04624,ko04722,ko05133,ko05140,ko05142,ko05145,ko05152,ko05162,ko05164,map04010,map04064,map04620,map04621,map04624,map04722,map05133,map05140,map05142,map05145,map05152,map05162,map05164	M00686	Malectin_like,Pkinase_Tyr
NODE_7276_length_373_cov_1.054054_1	O	AN1-like Zinc finger						ubiquitin,zf-AN1
NODE_7287_length_373_cov_0.905405_1	S	Protein of unknown function (DUF 659)						DUF659,Dimer_Tnp_hAT,zf-BED
NODE_7293_length_373_cov_0.847973_1	T	serine threonine-protein kinase						Pkinase
NODE_7315_length_373_cov_0.625000_1	S	Domain of unknown function (DUF4283)						DUF4283,zf-CCHC_4
NODE_7322_length_372_cov_1.552542_1	S	Reverse transcriptase-like						RVT_3
NODE_7327_length_372_cov_1.193220_1	L	cysteine-rich RLK (RECEPTOR-like protein kinase) 8						RVT_2,Retrotran_gag_2,Retrotran_gag_3,Retrotrans_gag,gag_pre-integrs,rve
NODE_7333_length_372_cov_0.989831_1	C	Core subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I) that is believed to belong to the minimal assembly required for catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone (By similarity)			ko:K03883	ko00190,ko01100,ko04714,ko04723,ko05012,map00190,map01100,map04714,map04723,map05012	M00142	Proton_antipo_M,Proton_antipo_N
NODE_7335_length_372_cov_0.989831_1								DUF295,F-box
NODE_7354_length_371_cov_0.715254_1	S	source UniProtKB						DUF659,Dimer_Tnp_hAT,zf-BED
NODE_7355_length_372_cov_0.694915_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,rve
NODE_7370_length_372_cov_0.430508_1	M	ATPase activity, coupled to transmembrane movement of substances						RVT_1,zf-RVT
NODE_7391_length_371_cov_0.809524_1	E	Ribonuclease H protein						RVT_1,zf-RVT
NODE_7409_length_371_cov_0.690476_2	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_7412_length_371_cov_0.670068_1	S	MuDR family transposase						DBD_Tnp_Mut,MULE,SWIM
NODE_7415_length_371_cov_0.629252_1	T	ATPase activity, coupled to transmembrane movement of substances			ko:K01051	ko00040,ko01100,map00040,map01100	M00081	DUF4283,Exo_endo_phos,RVT_1,zf-RVT
NODE_7451_length_370_cov_0.713311_1	S	source UniProtKB						DUF4216,DUF4218,Transpos_assoc,Transposase_21
NODE_7458_length_370_cov_0.627986_1	S	Ribonuclease H protein						RVT_1
NODE_7483_length_369_cov_1.000000_1	G	Lipase (class 3)		GO:0003674,GO:0003824,GO:0004620,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006629,GO:0006638,GO:0006639,GO:0006641,GO:0006810,GO:0006811,GO:0006820,GO:0006869,GO:0008150,GO:0008152,GO:0008610,GO:0009058,GO:0009507,GO:0009534,GO:0009536,GO:0009579,GO:0009987,GO:0010876,GO:0015711,GO:0015718,GO:0015849,GO:0015908,GO:0016298,GO:0016787,GO:0016788,GO:0019432,GO:0031976,GO:0031984,GO:0033036,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044444,GO:0044446,GO:0044464,GO:0045017,GO:0046460,GO:0046463,GO:0046486,GO:0046942,GO:0051179,GO:0051234,GO:0052689,GO:0052739,GO:0071702,GO:0071704,GO:1901576				Lipase_3
NODE_7514_length_369_cov_0.352740_1	S	Reverse transcriptase-like						RVT_3,zf-RVT
NODE_7543_length_368_cov_0.666667_1	G	transferase activity, transferring hexosyl groups						UDPGT
NODE_7575_length_367_cov_0.755172_1	E	Uncharacterized protein K02A2.6-like						RVT_1,RVT_3,Retrotrans_gag,rve
